point 1,point 2,point 3
[425 995],[524 985],[420 977]
[524 971],[425 978],[516 963]
[422 968],[518 960],[424 962]
[516 949],[429 872],[513 867]
[429 869],[508 863],[428 867]
[509 856],[422 859],[506 855]
[421 859],[506 856],[424 852]
[505 856],[424 857],[505 853]
[ 512 1019],[ 613 1006],[517 994]
[613 989],[516 978],[615 972]
[520 964],[613 955],[514 895]
[612 882],[518 860],[608 849]
[521 855],[605 853],[520 857]
[602 855],[523 853],[600 850]
[525 855],[608 857],[528 859]
[608 853],[531 860],[619 860]
[533 863],[621 863],[536 882]
[628 868],[540 895],[639 887]
